!! request processed by HyperLeda Tue Oct 21 01:08:22 2014
!! Number of lines in uploaded file: 1014
                  name                  |      vdis       |      bri25      |      mabs       |
PGC000064                               |                 | 23.488          | -21.532         |
PGC000066                               |                 | 23.419          | -21.18          |
ESO241-010                              |                 | 23.816          | -22.232         |
PGC000085                               |                 |                 |                 |
PGC000132                               |                 | 23.929          |                 |
PGC000141                               |                 | 23.395          | -20.956         |
PGC000203                               |                 | 24.362          |                 |
PGC000209                               |                 | 23.79           | -20.488         |
PGC000278                               |                 |                 |                 |
PGC000284                               |                 |                 |                 |
PGC000316                               |                 | 23.583          | -20.872         |
PGC000342                               |                 | 23.434          | -20.725         |
PGC000350                               |                 | 23.471          | -20.697         |
PGC000362                               |                 | 23.316          | -20.345         |
PGC000374                               |                 | 23.812          | -20.297         |
PGC000391                               |                 | 23.346          | -18.731         |
PGC000420                               |                 | 23.494          | -20.342         |
PGC000445                               |                 | 23.762          |                 |
PGC000534                               |                 | 24.544          |                 |
PGC000546                               |                 | 23.887          | -22.045         |
PGC000579                               |                 | 23.897          | -21.108         |
PGC000597                               |                 | 24.068          | -19.609         |
PGC000681                               |                 | 23.323          | -19.356         |
PGC000692                               |                 | 24.016          | -21.808         |
PGC000708                               |                 | 23.502          | -20.405         |
PGC000851                               |                 | 23.601          | -21.082         |
PGC000890                               |                 | 23.906          | -22.635         |
PGC000893                               |                 | 24.723          |                 |
ESO002-006                              |                 | 25.163          | -19.178         |
ESO350-015                              |                 | 24.225          | -22.537         |
PGC001608                               |                 | 24.033          | -18.698         |
PGC001637                               |                 | 23.764          | -20.333         |
ESO410-023                              |                 | 23.795          | -21.38          |
PGC002205                               |                 | 24.264          | -17.697         |
PGC577429                               |                 | 24.603          | -14.405         |
PGC2798836                              |                 |                 | -15.395         |
PGC2798844                              |                 |                 | -13.013         |
PGC002466                               |                 | 23.72           | -20.683         |
PGC2798867                              |                 |                 | -14.758         |
PGC002746                               |                 | 23.487          | -19.735         |
PGC2798871                              |                 |                 | -13.491         |
ESO195-002                              |                 | 24.145          | -21.221         |
PGC003006                               |                 | 23.666          | -20.518         |
ESO151-003                              |                 | 24.055          | -21.869         |
PGC003386                               |                 | 23.508          | -21.499         |
ESO006-006                              |                 | 23.53           | -20.73          |
ESO065-001                              |                 | 24.371          | -20.873         |
ESO322-037                              |                 | 23.171          | -18.611         |
PGC042824                               |                 | 23.68           | -21.326         |
ESO322-071                              |                 | 23.583          | -18.066         |
PGC043169                               |                 | 24.397          | -16.767         |
PGC043192                               |                 | 24.602          |                 |
PGC043203                               |                 | 25.913          |                 |
PGC043209                               |                 | 24.74           |                 |
PGC043226                               |                 | 24.38           |                 |
PGC043246                               |                 | 24.439          |                 |
PGC043248                               |                 | 24.525          | -17.12          |
PGC043250                               |                 | 25.446          |                 |
ESO322-089                              |  141.49         | 23.397          | -19.028         |
PGC043252                               |                 | 23.986          | -16.623         |
PGC043258                               |                 | 24.22           | -19.698         |
PGC043259                               |                 | 25.626          |                 |
PGC043265                               |                 | 25.19           |                 |
PGC043269                               |  86.98          | 23.456          | -17.6           |
PGC043285                               |                 | 24.851          |                 |
PGC043293                               |                 | 25.231          |                 |
PGC043309                               |                 | 24.539          | -15.758         |
PGC043371                               |  50.3           | 23.317          | -17.029         |
PGC043384                               |  37.02          | 23.47           | -16.854         |
PGC043392                               |                 | 24.715          |                 |
PGC043401                               |                 |                 |                 |
PGC043408                               |                 | 23.926          | -17.589         |
PGC043421                               |                 | 24.94           | -13.717         |
PGC043434                               |  72.72          | 23.151          | -17.908         |
PGC043436                               |                 | 23.216          |                 |
PGC043446                               |                 | 25.785          |                 |
PGC043496                               |                 | 26.296          |                 |
PGC043523                               |                 | 25.515          |                 |
PGC043530                               |                 | 25.006          | -19.747         |
PGC043546                               |                 | 23.676          | -20.81          |
PGC043596                               |                 | 23.386          | -18.498         |
PGC043597                               |                 | 24.558          | -16.488         |
PGC043630                               |                 | 26.077          |                 |
PGC043646                               |  253.45         | 23.568          | -21.306         |
PGC043659                               |                 | 26.162          |                 |
PGC043678                               |                 |                 |                 |
PGC043684                               |  296.35         | 23.78           | -21.176         |
PGC043730                               |  263.39         | 23.944          | -21.266         |
PGC043736                               |  211.49         | 23.529          | -20.887         |
PGC043753                               |                 | 23.43           | -20.357         |
PGC043760                               |                 | 23.161          | -18.193         |
NGC4773                                 |                 | 22.142          | -20.077         |
PGC043836                               |                 | 22.851          | -18.529         |
PGC043901                               |                 | 23.448          | -19.211         |
PGC043938                               |                 | 24.107          | -21.211         |
PGC043948                               |                 |                 |                 |
PGC043949                               |                 | 23.913          | -19.246         |
PGC043988                               |                 | 23.551          | -18.213         |
PGC044002                               |                 | 23.317          | -19.762         |
PGC044003                               |                 | 23.745          |                 |
PGC044046                               |                 | 23.432          | -19.153         |
PGC044064                               |                 | 23.425          | -21.186         |
ESO507-046                              |  177.42         | 23.363          | -20.453         |
PGC044104                               |                 | 23.679          | -20.596         |
ESO219-010                              |                 | 24.179          | -12.552         |
PGC044113                               |                 | 23.329          | -20.487         |
PGC044153                               |                 |                 |                 |
IC3896                                  |  203.29         | 23.446          | -20.936         |
ESO443-014                              |  226.82         | 24.001          | -22.73          |
PGC044248                               |                 | 23.995          | -19.137         |
PGC044258                               |  191.34         | 23.81           | -20.178         |
PGC044259                               |  261.76         | 24.92           | -20.219         |
PGC044277                               |                 | 23.852          | -20.372         |
PGC044285                               |                 | 23.647          | -20.784         |
PGC044320                               |  176.44         | 23.392          | -21.153         |
PGC044368                               |  234.53         | 23.93           | -21.649         |
PGC044372                               |  248.43         | 23.362          | -19.525         |
PGC044377                               |                 | 23.571          | -20.375         |
PGC044425                               |  137.72         |                 |                 |
PGC044473                               |  129.9          | 23.378          | -20.165         |
PGC044505                               |                 |                 |                 |
PGC044614                               |                 |                 |                 |
PGC044678                               |                 | 23.535          | -19.563         |
PGC044683                               |                 | 23.977          | -21.33          |
IC3986                                  |  278.89         | 23.539          | -21.236         |
PGC044923                               |                 | 23.81           | -20.592         |
PGC044948                               |                 | 23.451          | -21.007         |
PGC044971                               |                 | 23.604          | -21.665         |
PGC045123                               |                 | 23.542          | -21.838         |
PGC045142                               |  125.8          | 22.175          | -19.64          |
PGC045156                               |                 | 23.742          | -22.02          |
ESO443-053                              |  206.06         | 23.09           | -20.138         |
PGC045207                               |                 | 22.988          | -19.156         |
IC0846                                  |                 | 23.496          | -20.838         |
PGC045338                               |                 | 23.839          | -21.807         |
PGC045343                               |                 | 24.354          | -21.771         |
PGC045377                               |                 | 23.584          | -19.63          |
PGC045400                               |                 | 24.043          | -21.538         |
PGC045401                               |                 | 23.663          | -21.305         |
PGC045553                               |  281.07         | 23.569          | -20.816         |
PGC045792                               |                 | 24.045          | -20.795         |
ESO323-092                              |  137.72         | 23.272          | -19.866         |
PGC045932                               |                 | 23.925          | -20.943         |
ESO269-072                              |  206.45         | 23.554          | -19.944         |
IC0859                                  |                 | 23.199          | -20.119         |
PGC046168                               |                 | 23.61           | -20.591         |
IC0862                                  |                 | 22.795          | -20.616         |
PGC046198                               |                 | 24.007          | -20.866         |
PGC046210                               |                 | 23.862          | -21.424         |
PGC046215                               |                 | 23.452          | -21.554         |
PGC046251                               |                 | 23.772          | -20.407         |
PGC046273                               |                 | 23.749          | -19.614         |
IC0868                                  |                 | 23.145          | -20.404         |
PGC046305                               |                 | 20.515          | -21.352         |
IC0873                                  |                 | 24.028          | -19.76          |
ESO576-025                              |                 | 24.322          |                 |
PGC046379                               |                 | 23.767          | -21.37          |
PGC046380                               |                 | 23.383          | -20.972         |
PGC046447                               |                 | 23.974          | -21.172         |
IC0882                                  |  241.13         | 23.346          | -20.296         |
PGC046575                               |                 |                 |                 |
NGC5086                                 |                 | 23.497          | -17.009         |
PGC046701                               |                 | 23.567          | -21.785         |
IC0885                                  |                 | 23.447          | -20.709         |
PGC046765                               |                 | 23.713          | -21.227         |
ESO382-055                              |                 | 21.978          | -20.549         |
PGC046785                               |  328.62         | 25.92           | -21.409         |
PGC046792                               |                 |                 |                 |
PGC046821                               |  287.41         | 24.156          | -21.688         |
PGC046937                               |                 | 24.069          | -20.799         |
PGC046942                               |                 | 23.43           | -20.234         |
PGC046983                               |  97.5           | 23.711          | -19.221         |
PGC047017                               |  198.63         | 23.811          | -21.16          |
IC0889                                  |                 | 23.897          | -21.617         |
ESO509-008                              |  317.58         | 24.045          | -22.174         |
